date,jugador,precio,posicionJugador,puntosJugador,equipoLiga,avgPoints,estado,variacion,jornada,detalles,equipo,ganancias,num_pujas
2025-11-18,V. PARADA,0.369,2.0,22.0,48.0,2.2,0,-0.029,13,3.0,,,0
2025-11-18,M. KUMBULLA,0.198,2.0,10.0,408.0,2.5,3,-0.008,13,3.0,Chamacónicos,-0.199999,0
2025-12-23,M. ARAMBARRI,10.858,3.0,77.0,9.0,4.5,0,-0.083,18,10.0,,,0
2025-12-23,M. RYAN,8.431,1.0,65.0,12.0,4.6,0,-0.074,18,10.0,,,0
2025-12-23,A. SIVERA,5.782,1.0,77.0,48.0,4.5,0,-0.003,18,10.0,,,0
2025-12-23,S. BECKER,0.193,4.0,19.0,50.0,2.1,0,0.007,18,10.0,,,0
2025-12-23,T. FERNÁNDEZ,0.16,4.0,3.0,3.0,3.0,0,-0.034,18,10.0,,,0
2025-12-23,V. TSYGANKOV,6.373,3.0,50.0,222.0,4.5,0,0.077,18,10.0,Maldinillo 💥,-6.43482,1
2025-12-23,F. MASTANTUONO,4.174,3.0,35.0,15.0,3.5,0,-0.171,18,10.0,,,0
2025-12-23,C. GALLAGHER,1.626,3.0,63.0,2.0,3.5,0,0.032,18,10.0,Jotabetrbb,-1.826,1
2025-12-23,Ó. MINGUEZA,9.895,2.0,62.0,5.0,4.4,0,-0.091,18,10.0,,,0
2025-12-23,A. MARTÍNEZ,5.057,2.0,52.0,222.0,3.5,0,-0.05,18,10.0,,,0
2025-12-23,A. BRETONES,4.503,2.0,54.0,50.0,3.6,5,0.08,18,10.0,Maldinillo 💥,-4.61904,0
2025-12-23,C. LENGLET,1.424,2.0,29.0,2.0,3.2,3,-0.065,18,10.0,,,0
2025-12-23,J. DONALD,0.16,2.0,29.0,23.0,2.6,0,-0.006,18,10.0,,,0
2025-12-23,C. RIVERO,0.187,1.0,0.0,19.0,0.0,0,0.027,18,10.0,,,0
2025-12-24,L. BOYÉ,4.996,4.0,54.0,48.0,4.5,3,-0.082,18,9.0,,,0
2025-12-24,J. ARANGO,0.191,4.0,0.0,222.0,0.0,0,0.023,18,9.0,,,0
2025-12-24,M. ARAMBARRI,10.797,3.0,77.0,9.0,4.5,0,-0.061,18,9.0,,,0
2025-12-24,C. ÁLVAREZ,7.831,3.0,69.0,12.0,4.3,0,-0.059,18,9.0,,,0
2025-12-24,B. SANTAMARIA,0.19,3.0,36.0,19.0,2.4,0,0.03,18,9.0,,,0
2025-12-24,D. FERNÁNDEZ,0.168,3.0,13.0,3.0,3.3,0,-0.018,18,9.0,,,0
2025-12-24,D. RICO,1.2,2.0,44.0,9.0,2.8,0,-0.042,18,9.0,,,0
2025-12-24,J. SÁNCHEZ,0.734,2.0,34.0,17.0,2.6,0,-0.038,18,9.0,,,0
2025-12-24,M. DIAKHABY,0.523,2.0,33.0,19.0,4.7,0,0.051,18,9.0,,,0
2025-12-24,M. RYAN,8.389,1.0,65.0,12.0,4.6,0,-0.042,18,9.0,,,0
2025-12-24,J. AGIRREZABALA,6.949,1.0,74.0,19.0,4.4,0,-0.063,18,9.0,,,0
2025-12-24,A. SIVERA,5.792,1.0,77.0,48.0,4.5,0,0.01,18,9.0,,,0
2025-12-24,P. CAMPOS,0.16,1.0,11.0,12.0,5.5,0,,18,9.0,,,0
2025-12-25,Á. FORÉS,0.174,4.0,22.0,1370.0,2.2,0,0.014,18,8.0,,,0
2025-12-25,M. JAUREGIZAR,6.432,3.0,67.0,1.0,3.7,0,0.04,18,8.0,Maldinillo 💥,-6.4321,0
2025-12-25,S. COLOMBATTO,0.627,3.0,40.0,1370.0,3.1,0,-0.052,18,8.0,,,0
2025-12-25,B. DÍAZ,0.41,3.0,25.0,15.0,2.1,4,-0.076,18,8.0,,,0
2025-12-25,D. VIVIAN,6.527,2.0,44.0,1.0,2.8,0,-0.085,18,8.0,,,0
2025-12-25,R. ARAÚJO,5.697,2.0,58.0,3.0,5.3,3,-0.093,18,8.0,,,0
2025-12-25,D. RICO,1.16,2.0,44.0,9.0,2.8,0,-0.04,18,8.0,,,0
2025-12-25,A. DE LA FUENTE,0.343,2.0,42.0,12.0,3.2,0,0.035,18,8.0,,,0
2025-12-25,F. GARCÍA,0.27,2.0,7.0,15.0,1.2,0,-0.036,18,8.0,,,0
2025-12-25,D. FOULQUIER,0.16,2.0,23.0,19.0,2.3,0,,18,8.0,,,0
2025-12-26,S. AMRABAT,7.606,3.0,45.0,4.0,5.6,4,-0.104,18,7.0,,,0
2025-12-26,B. MENDY,2.191,3.0,51.0,17.0,3.9,0,0.055,18,7.0,,,0
2025-12-26,H. SOTELO,1.184,3.0,46.0,5.0,3.8,3,-0.053,18,7.0,,,0
2025-12-26,L. ASTIAZARAN,0.197,3.0,0.0,16.0,0.0,0,0.02,18,7.0,,,0
2025-12-26,F. BELTRÁN,0.192,3.0,22.0,5.0,2.2,0,-0.034,18,7.0,,,0
2025-12-26,H. ÁLVAREZ,0.163,3.0,28.0,5.0,3.1,0,-0.037,18,7.0,,,0
2025-12-26,A. CATENA,10.229,2.0,75.0,50.0,4.7,0,0.051,18,7.0,,,0
2025-12-26,N. MOLINA,0.864,2.0,28.0,2.0,2.2,0,-0.056,18,7.0,,,0
2025-12-26,J. CABELLO,0.165,2.0,11.0,12.0,2.2,0,-0.036,18,7.0,,,0
2025-12-26,D. CALVO,0.16,2.0,29.0,1370.0,3.2,0,-0.02,18,7.0,,,0
