date,nombre,variacion
2025-10-30,Sergio Gómez,0.033
2025-10-30,Gonçalo Guedes,0.033
2025-10-30,Kiko Femenía,0.033
2025-10-30,Horațiu Moldovan,0.033
2025-10-30,Davinchi,0.033
2025-10-30,Ilaix Moriba,0.032
2025-10-30,Beñat Turrientes,0.032
2025-10-30,Raúl García de Haro,0.031
2025-10-30,Nacho Vidal,0.031
2025-10-30,Kike Barja,0.031
2025-10-30,Orri Óskarsson,0.031
2025-10-30,Lamine Yamal,0.03
2025-10-30,Djibril Sow,0.03
2025-10-30,Donny van de Beek,0.03
2025-10-30,Manu Bueno,0.03
2025-10-30,Yago Santiago,0.03
2025-10-30,Fran González,0.03
2025-10-30,Jon Aramburu,0.029
2025-10-30,Youssef Enríquez,0.029
2025-10-30,Pichu Cuéllar,0.029
2025-10-30,Marc Roca,0.028
2025-10-30,Fran Pérez,0.028
2025-10-30,Pau Navarro,0.028
2025-10-30,Raúl Fernández,0.027
2025-10-30,Carlos Dominguez,0.027
2025-10-30,Augusto Batalla,0.026
2025-10-30,Matías Moreno,0.026
2025-10-30,David Alaba,0.026
2025-10-30,Pau Cubarsi,0.025
2025-10-30,Alejandro Rego,0.025
2025-10-30,David Costas,0.025
2025-10-30,Unai Gómez,0.025
2025-10-30,Vinícius Júnior,0.024
2025-10-30,Julián Álvarez,0.023
2025-10-30,Fede Redondo,0.023
2025-10-30,Abel Ruiz,0.023
2025-10-30,Pau Cabanes,0.023
2025-10-30,Fede Valverde,0.022
2025-10-30,Miguel Román,0.022
2025-10-30,Aritz Elustondo,0.021
2025-10-30,José Salinas,0.021
2025-10-30,Dominik Livakovic,0.021
2025-10-30,Cristian Portu,0.02
2025-10-30,Ramón Terrats,0.02
2025-10-30,Unai Simón,0.019
2025-10-30,Diego Conde,0.019
2025-10-30,Unai Marrero,0.019
2025-10-30,Jozhua Vertrouwd,0.019
2025-10-30,Álvaro Lemos,0.018
2025-10-30,Kylian Mbappé,0.017
2025-10-30,Filip Ugrinic,0.017
2025-10-30,David López,0.017
2025-10-30,Sergio Herrera,0.016
2025-10-30,Ilyas Chaira,0.016
2025-10-30,Antony Santos,0.015
2025-10-30,Álvaro Núñez,0.015
2025-10-30,Juanmi Jiménez,0.015
2025-10-30,Urko Izeta,0.015
2025-10-30,Jon Ander Olasagasti,0.014
2025-10-30,Luka Sučić,0.014
2025-10-30,Héctor Bellerín,0.012
2025-10-30,Yeray Álvarez,0.012
2025-10-30,Ángel Fortuño,0.011
2025-10-30,Umar Sadiq,0.011
2025-10-30,Johnny Cardoso,0.01
2025-10-30,Víctor García,0.01
2025-10-30,Stole Dimitrievski,0.01
2025-10-30,Javi Muñoz,0.01
2025-10-30,Toni Lato,0.009
2025-10-30,Jofre Carreras,0.009
2025-10-30,Juan Musso,0.009
2025-10-30,Arkaitz Mariezkurrena,0.008
2025-10-30,Carlos Martín,0.008
2025-10-30,Javier López,0.008
2025-10-30,Nicolas Pépé,0.007
2025-10-30,Ayoze Pérez,0.007
2025-10-30,Antoniu Roca,0.007
2025-10-30,Fábio Cardoso,0.007
2025-10-30,Germán Valera,0.006
2025-10-30,Josán Fernández,0.006
2025-10-30,Joan Jordan,0.006
2025-10-30,Mikel Goti,0.006
2025-10-30,Luca Koleosho,0.005
2025-10-30,Logan Costa,0.005
2025-10-30,Pablo Marín,0.004
2025-10-30,Ali Houary,0.004
2025-10-30,Adnan Januzaj,0.004
2025-10-30,Thibaut Courtois,0.003
2025-10-30,Alfonso Pedraza,0.003
2025-10-30,Chidera Ejuke,0.003
2025-10-30,Álex Sancris,0.003
2025-10-30,Cédric Bakambu,0.003
2025-10-30,Marc Bernal,0.002
2025-10-30,Luka Ilic,0.002
2025-10-30,André Almeida,0.002
2025-10-30,Fran García,0.002
2025-10-30,Nico Williams,0.001
2025-10-30,Carles Aleñá,0.001
2025-10-30,Lucas Bergström,0.001
2025-10-30,Takuma Asano,0.001
2025-10-30,Nelson Deossa,0.001
2025-10-30,Lucien Agoumé,-0.2
2025-10-30,Hugo Duro,-0.164
2025-10-30,Javi Rueda,-0.16
2025-10-30,Valentin Rosier,-0.148
2025-10-30,Robert Navarro,-0.148
2025-10-30,Andreas Christensen,-0.138
2025-10-30,Manor Solomon,-0.137
2025-10-30,Iñaki Williams,-0.136
2025-10-30,Sergi Altimira,-0.13
2025-10-30,Alexis Sánchez,-0.127
2025-10-30,Alex Remiro,-0.127
2025-10-30,Gerard Martín,-0.125
2025-10-30,Batista Mendy,-0.119
2025-10-30,Raúl Asencio,-0.119
2025-10-30,Javi Guerra,-0.115
2025-10-30,Hugo Álvarez,-0.106
2025-10-30,Javi Puado,-0.106
2025-10-30,César Azpilicueta,-0.104
2025-10-30,Dani Carvajal,-0.104
2025-10-30,Baptiste Santamaria,-0.103
2025-10-30,Mouctar Diakhaby,-0.102
2025-10-30,Iván Romero,-0.101
2025-10-30,Matías Dituro,-0.097
2025-10-30,Kike Salas,-0.094
2025-10-30,Adrián de la Fuente,-0.09
2025-10-30,Pathé Ciss,-0.09
2025-10-30,Clément Lenglet,-0.089
2025-10-30,Luis Rioja,-0.089
2025-10-30,Sergi Darder,-0.087
2025-10-30,Alexander Sørloth,-0.087
2025-10-30,Arnaut Danjuma,-0.087
2025-10-30,Dani Ceballos,-0.086
2025-10-30,Takefusa Kubo,-0.086
2025-10-30,Fernando Calero,-0.078
2025-10-30,Leander Dendoncker,-0.078
2025-10-30,Javi Galán,-0.077
2025-10-30,Tyrhys Dolan,-0.075
2025-10-30,Gavi,-0.074
2025-10-30,Aitor Paredes,-0.074
2025-10-30,Diego López,-0.071
2025-10-30,Flavien Boyomo,-0.071
2025-10-30,Ørjan Nyland,-0.07
2025-10-30,Rodrigo Riquelme,-0.07
2025-10-30,Duje Ćaleta-Car,-0.07
2025-10-30,Álvaro Odriozola,-0.069
2025-10-30,Jon Pacheco,-0.068
2025-10-30,Pablo Barrios,-0.067
2025-10-30,Maroan Sannadi,-0.066
2025-10-30,Dani Olmo,-0.066
2025-10-30,Facundo Garcés,-0.062
2025-10-30,Omar El Hilali,-0.062
