id,type,subtype,equipo,jugador,compra-venta,ganancias
39,transfer,mercado,Chamacónicos,Lucas Boyé,venta,1211700
39,transfer,clausula,Maldinillo 💥,Abde Ezzalzouli,venta,7804908
39,transfer,clausula,Juanba,Abde Ezzalzouli,compra,-7804908
39,transfer,mercado,Libre,Takuma Asano,venta,595900
39,transfer,mercado,Maldinillo 💥,Dani Carvajal,venta,7160000
39,transfer,mercado,Dani,Denis Suárez,venta,1471600
39,marks,start_mercado,Mercado diario,,,0
39,transfer,mercado,Libre,Alexander Sørloth,compra,-11355990
39,transfer,mercado,Libre,Youssef Enríquez,compra,-296660
39,transfer,mercado,Maldinillo 💥,Marcos Alonso,compra,-5052350
40,transfer,mercado,Libre,Isi Palazón,venta,9808000
40,transfer,mercado,Los marinero,Leandro Cabrera,venta,8204230
40,marks,start_mercado,Mercado diario,,,0
40,transfer,mercado,De la Guettir FC,Álvaro García,compra,-11111133
40,transfer,mercado,Chamacónicos,Azzedine Ounahi,compra,-6622000
40,transfer,mercado,Maldinillo 💥,Coba da Costa,compra,-370120
41,transfer,mercado,De la Guettir FC,Pablo Torre,venta,5265360
41,transfer,mercado,Maldinillo 💥,Mikel Vesga,venta,987840
41,transfer,mercado,Los marinero,Mariano Díaz,venta,1253340
41,marks,start_mercado,Mercado diario,,,0
41,transfer,mercado,Libre,Antoine Griezmann,compra,-11050000
41,transfer,mercado,Los marinero,Ricardo Rodríguez,compra,-209000
42,transfer,mercado,Maldinillo 💥,Luka Ilic,venta,1361220
42,transfer,mercado,Chamacónicos,Adrián Liso,venta,4250080
42,transfer,mercado,Libre,Pichu Cuéllar,venta,185850
42,marks,start_mercado,Mercado diario,,,0
42,transfer,mercado,Los marinero,Leandro Cabrera,compra,-8253000
42,transfer,mercado,Los marinero,Marc Roca,compra,-556000
42,transfer,mercado,Chamacónicos,Iván Balliu,compra,-609000
43,marks,start_jornada,7.0,,,0
43,transfer,mercado,Jotabetrbb,Thibaut Courtois,venta,10716160
43,transfer,mercado,Libre,Kelechi Iheanacho,venta,185270
43,transfer,mercado,Libre,Kike Salas,venta,7081000
43,bonificacion,quiniela,De la Guettir FC,,,800000
43,bonificacion,quiniela,Dani,,,700000
43,bonificacion,quiniela,Jotabetrbb,,,700000
43,bonificacion,quiniela,Juanba,,,600000
43,bonificacion,quiniela,Maldinillo 💥,,,600000
43,bonificacion,quiniela,MuchaSalsa,,,400000
43,bonificacion,quiniela,Chamacónicos,,,0
43,bonificacion,quiniela,Libre,,,0
43,bonificacion,quiniela,Los marinero,,,0
43,bonificacion,clasificacion,De la Guettir FC,,,1570000
43,bonificacion,clasificacion,Jotabetrbb,,,1310000
43,bonificacion,clasificacion,Dani,,,1160000
43,bonificacion,clasificacion,Maldinillo 💥,,,1440000
43,bonificacion,clasificacion,Los marinero,,,1580000
43,bonificacion,clasificacion,Chamacónicos,,,1660000
43,bonificacion,clasificacion,MuchaSalsa,,,1780000
43,bonificacion,clasificacion,Libre,,,1980000
43,bonificacion,clasificacion,Juanba,,,2060000
43,transfer,acuerdo,Jotabetrbb,Isaac Romero,venta,6000000
43,transfer,acuerdo,Maldinillo 💥,Isaac Romero,compra,-6000000
43,marks,start_mercado,Mercado diario,,,0
43,transfer,mercado,Libre,Gabriel Suazo,compra,-4173796
43,transfer,mercado,Libre,Pichu Cuéllar,compra,-189010
43,transfer,mercado,Jotabetrbb,Horațiu Moldovan,compra,-193000
43,transfer,mercado,Maldinillo 💥,Luka Ilic,compra,-1436030
44,transfer,mercado,Dani,Carlos Soler,venta,6325020
44,transfer,mercado,Los marinero,Domingos Duarte,venta,1237850
44,transfer,clausula,Maldinillo 💥,Rafa Mir,venta,8271165
44,transfer,clausula,Dani,Rafa Mir,compra,-8271165
44,transfer,mercado,Chamacónicos,Alejandro Catena,venta,6977360
44,transfer,mercado,De la Guettir FC,Rodrigo Mendoza,venta,4730250
44,marks,start_mercado,Mercado diario,,,0
44,transfer,mercado,Jotabetrbb,Ferran Torres,compra,-14738000
44,transfer,mercado,Los marinero,Diego Rico,compra,-4269000
44,transfer,mercado,Chamacónicos,Djibril Sow,compra,-888000
44,transfer,mercado,Dani,Abdel Abqar,compra,-1700550
45,transfer,mercado,Jotabetrbb,Sergio Carreira,venta,1185240
45,transfer,clausula,Chamacónicos,Valentín Gómez,venta,2000000
45,transfer,clausula,Jotabetrbb,Valentín Gómez,compra,-2000000
45,transfer,mercado,Chamacónicos,Marko Dmitrović,venta,10377250
45,transfer,mercado,Libre,Unai López,venta,5134550
45,marks,start_mercado,Mercado diario,,,0
45,transfer,mercado,Libre,Aurélien Tchouaméni,compra,-12003710
45,transfer,mercado,Libre,Marcos Llorente,compra,-8833400
45,transfer,mercado,Libre,Dani Parejo,compra,-5235230
45,transfer,mercado,Chamacónicos,Lucas Boyé,compra,-1207000
46,transfer,clausula,Libre,Valentín Gómez,venta,1000000
46,transfer,clausula,Chamacónicos,Valentín Gómez,compra,-1000000
46,transfer,mercado,Libre,Gerard Moreno,venta,4406490
46,transfer,mercado,Jotabetrbb,Joel Roca,venta,2447550
46,marks,start_mercado,Mercado diario,,,0
46,transfer,mercado,Los marinero,Batista Mendy,compra,-4124000
46,transfer,mercado,Chamacónicos,Marko Dmitrović,compra,-10155000
46,transfer,mercado,Dani,Omar El Hilali,compra,-6244880
47,transfer,mercado,Maldinillo 💥,Hugo Duro,venta,8680350
47,bonificacion,quiniela,Chamacónicos,,,700000
47,bonificacion,quiniela,Jotabetrbb,,,700000
47,bonificacion,quiniela,MuchaSalsa,,,700000
47,bonificacion,quiniela,Dani,,,600000
47,bonificacion,quiniela,De la Guettir FC,,,600000
47,bonificacion,quiniela,Juanba,,,500000
47,bonificacion,quiniela,Libre,,,500000
47,bonificacion,quiniela,Los marinero,,,400000
47,bonificacion,quiniela,Maldinillo 💥,,,400000
47,bonificacion,clasificacion,Los marinero,,,2270000
47,bonificacion,clasificacion,Maldinillo 💥,,,1690000
47,bonificacion,clasificacion,Dani,,,1580000
47,bonificacion,clasificacion,De la Guettir FC,,,1830000
47,bonificacion,clasificacion,Jotabetrbb,,,1740000
47,bonificacion,clasificacion,Chamacónicos,,,1700000
47,bonificacion,clasificacion,Juanba,,,1860000
47,bonificacion,clasificacion,MuchaSalsa,,,2040000
47,bonificacion,clasificacion,Libre,,,2040000
47,transfer,clausula,Los marinero,Tanguy Nianzou,venta,1029000
47,transfer,clausula,Jotabetrbb,Tanguy Nianzou,compra,-1029000
47,transfer,mercado,Dani,Lucas Ahijado,venta,197000
47,transfer,mercado,Dani,Takefusa Kubo,venta,13449000
47,marks,start_mercado,Mercado diario,,,0
47,transfer,mercado,De la Guettir FC,Andreas Christensen,compra,-2898989
47,transfer,mercado,Chamacónicos,Alejandro Catena,compra,-6448000
47,transfer,mercado,Dani,David Affengruber,compra,-7536410
47,transfer,mercado,Dani,Denis Suárez,compra,-1512030
47,transfer,mercado,Maldinillo 💥,Rafa Mir,compra,-5514110
47,transfer,mercado,Maldinillo 💥,Mikel Vesga,compra,-890860
48,transfer,mercado,Maldinillo 💥,Carles Aleñá,venta,5145000
48,marks,start_mercado,Mercado diario,,,0
49,transfer,mercado,Chamacónicos,Axel Witsel,venta,1703520
49,transfer,mercado,Los marinero,Gorka Guruzeta,venta,2332440
49,transfer,mercado,Los marinero,Natan Souza,venta,4574850
49,marks,start_mercado,Mercado diario,,,0
49,transfer,mercado,Los marinero,Tanguy Nianzou,compra,-686000
49,transfer,mercado,Maldinillo 💥,Hugo Duro,compra,-8298150
49,transfer,mercado,Maldinillo 💥,Abde Ezzalzouli,compra,-5203272
49,transfer,mercado,Maldinillo 💥,Paulo Gazzaniga,compra,-4463450
50,transfer,mercado,Dani,Manor Solomon,venta,2697900
50,transfer,mercado,Maldinillo 💥,Yago Santiago,venta,177600
50,transfer,clausula,Maldinillo 💥,Georges Mikautadze,venta,9923400
50,transfer,clausula,Chamacónicos,Georges Mikautadze,compra,-9923400
50,transfer,mercado,Libre,Gavi,venta,7612500
50,transfer,mercado,Chamacónicos,Rodrigo Riquelme,venta,5669120
50,transfer,mercado,Chamacónicos,Pablo Campos,venta,4246320
50,transfer,mercado,Los marinero,Thomas Lemar,venta,2398750
50,marks,start_mercado,Mercado diario,,,0
50,transfer,mercado,De la Guettir FC,Marc Bernal,compra,-3111111
50,transfer,mercado,Los marinero,Gorka Guruzeta,compra,-2426000
50,transfer,mercado,Chamacónicos,Antonio Sivera,compra,-10155000
51,transfer,mercado,Maldinillo 💥,José Copete,venta,1535200
51,marks,start_jornada,5.0,,,0
51,transfer,mercado,Libre,Pacha Espino,venta,942760
51,transfer,mercado,Maldinillo 💥,Jeremy Toljan,venta,2844450
51,marks,start_mercado,Mercado diario,,,0
51,transfer,mercado,Libre,Kike Salas,compra,-7406650
51,transfer,mercado,Libre,Matías Dituro,compra,-7200000
51,transfer,mercado,Libre,Andrés Castrín,compra,-1673040
51,transfer,mercado,Libre,Valentín Gómez,compra,-444030
51,transfer,mercado,De la Guettir FC,Jon Pacheco,compra,-233333
52,transfer,clausula,Chamacónicos,Carlos Dominguez,venta,1658250
52,transfer,clausula,Juanba,Carlos Dominguez,compra,-1658250
52,transfer,clausula,Libre,Mariano Díaz,venta,2299500
52,transfer,clausula,Los marinero,Mariano Díaz,compra,-2299500
52,transfer,clausula,Libre,Dani Carvajal,venta,8896861
52,transfer,clausula,Maldinillo 💥,Dani Carvajal,compra,-8896861
52,transfer,acuerdo,Chamacónicos,Aitor Fernández,venta,27750
52,transfer,acuerdo,Maldinillo 💥,Aitor Fernández,compra,-27750
52,transfer,mercado,Maldinillo 💥,Borja Sánchez,venta,168000
52,marks,start_mercado,Mercado diario,,,0
52,transfer,mercado,Jotabetrbb,Sergio Carreira,compra,-1225528
52,transfer,mercado,Maldinillo 💥,Sergi Darder,compra,-9692530
52,transfer,mercado,Maldinillo 💥,Víctor García,compra,-167000
53,transfer,clausula,Maldinillo 💥,Bryan Gil,venta,3391020
53,transfer,clausula,Los marinero,Bryan Gil,compra,-3391020
53,transfer,mercado,MuchaSalsa,Aitor Ruibal,venta,1803230
53,transfer,mercado,MuchaSalsa,Luiz Júnior,venta,7436100
53,transfer,mercado,Jotabetrbb,Moi Gómez,venta,1472000
53,transfer,mercado,Maldinillo 💥,Javi Puado,venta,10275280
53,marks,start_mercado,Mercado diario,,,0
53,transfer,mercado,Maldinillo 💥,José Copete,compra,-1581120
54,transfer,mercado,Maldinillo 💥,Ángel Ortiz,venta,755040
54,transfer,mercado,Maldinillo 💥,Yuri Berchiche,venta,5133440
54,bonificacion,quiniela,Juanba,,,700000
54,bonificacion,quiniela,Maldinillo 💥,,,600000
54,bonificacion,quiniela,De la Guettir FC,,,500000
54,bonificacion,quiniela,Chamacónicos,,,400000
54,bonificacion,quiniela,Jotabetrbb,,,400000
54,bonificacion,quiniela,Los marinero,,,400000
54,bonificacion,quiniela,MuchaSalsa,,,400000
54,bonificacion,quiniela,Dani,,,300000
54,bonificacion,quiniela,Libre,,,0
54,bonificacion,clasificacion,Dani,,,1690000
54,bonificacion,clasificacion,De la Guettir FC,,,1570000
54,bonificacion,clasificacion,Chamacónicos,,,1460000
54,bonificacion,clasificacion,Los marinero,,,1660000
54,bonificacion,clasificacion,Jotabetrbb,,,1900000
54,bonificacion,clasificacion,MuchaSalsa,,,2210000
54,bonificacion,clasificacion,Juanba,,,2040000
54,bonificacion,clasificacion,Maldinillo 💥,,,2270000
54,bonificacion,clasificacion,Libre,,,2180000
54,transfer,mercado,Chamacónicos,Rafa Marín,venta,7894800
54,transfer,mercado,Los marinero,Beñat Prados,venta,549000
54,marks,start_mercado,Mercado diario,,,0
54,transfer,mercado,MuchaSalsa,Luis Milla,compra,-11831000
54,transfer,mercado,Jotabetrbb,Pablo Ibáñez,compra,-2431000
54,transfer,mercado,Maldinillo 💥,Unai Gómez,compra,-160000
55,transfer,clausula,Los marinero,Victor Muñoz,venta,6942000
55,transfer,clausula,Jotabetrbb,Victor Muñoz,compra,-6942000
55,transfer,clausula,Jotabetrbb,Pere Milla,venta,4872000
55,transfer,clausula,Chamacónicos,Pere Milla,compra,-4872000
55,marks,start_mercado,Mercado diario,,,0
55,transfer,mercado,Chamacónicos,Antonio Blanco,compra,-5360000
55,transfer,mercado,Chamacónicos,Héctor Bellerín,compra,-4231000
55,transfer,mercado,Chamacónicos,Aitor Fernández,compra,-160010
55,transfer,mercado,Maldinillo 💥,Javi Puado,compra,-10385650
55,transfer,mercado,Maldinillo 💥,Carles Aleñá,compra,-5027470
56,transfer,mercado,Maldinillo 💥,Julen Agirrezabala,venta,5508000
56,transfer,mercado,Maldinillo 💥,Junior Firpo,venta,5281120
56,transfer,clausula,Maldinillo 💥,Carlos Dominguez,venta,1105500
56,transfer,clausula,Chamacónicos,Carlos Dominguez,compra,-1105500
56,transfer,mercado,Jotabetrbb,Juan Iglesias,venta,2843760
56,transfer,mercado,Dani,Diego Pampín,venta,201400
56,transfer,mercado,Maldinillo 💥,Franco Mastantuono,venta,10386600
56,marks,start_mercado,Mercado diario,,,0
56,transfer,mercado,Los marinero,Beñat Prados,compra,-665000
56,transfer,mercado,Maldinillo 💥,Flavien Boyomo,compra,-9758310
57,transfer,mercado,Chamacónicos,Brais Méndez,venta,5144000
57,marks,start_mercado,Mercado diario,,,0
57,transfer,mercado,Libre,Kike Barja,compra,-256020
57,transfer,mercado,Libre,Asier Osambela,compra,-166070
57,transfer,mercado,Dani,Abel Bretones,compra,-1914900
57,transfer,mercado,Maldinillo 💥,Bryan Gil,compra,-2260680
