id,nombre,posicion,foto_url,club
29205,A. Balde,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/29205.png?version=20260217184052,FC Barcelona
56952,A. Boiro,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/56952.png?version=20251003184923,Athletic Club
58986,A. Bretones,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/58986.png?version=20251006024745,CA Osasuna
65179,A. Castrín,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65179.png?version=20250817184950,Sevilla FC
15756,A. Catena,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/15756.png?version=20231217204253,CA Osasuna
48556,A. Christensen,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48556.png?version=20260217183949,FC Barcelona
354,A. Elustondo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/354.png?version=20251004233445,Real Sociedad
59263,A. Francés,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59263.png?version=20240726200409,Girona FC
68640,A. Freeman,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68640.png?version=20260323141045,Villarreal CF
11092,A. Gorosabel,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/11092.png?version=20251003185251,Athletic Club
10,A. Laporte,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/10.png?version=20250912080149,Athletic Club
48205,A. Martínez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48205.png?version=20231220225819,Girona FC
64198,A. Matturro,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64198.png?version=20250709144826,Levante UD
49342,A. Mumin,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/49342.png?version=20251004224204,Rayo Vallecano
15345,A. Muñoz,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/15345.png?version=20251004232955,Real Sociedad
14838,A. Nyom,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/14838.png?version=20241008115242,Getafe CF
28773,A. Paredes,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/28773.png?version=20251003185210,Athletic Club
465,A. Pedraza,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/465.png?version=20251006020644,Villarreal CF
14691,A. Pedrosa,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/14691.png?version=20251006022606,Elche CF
70258,A. Purić,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70258.png?version=20260502184219,Atlético de Madrid
175,A. Raíllo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/175.png?version=20251006031108,RCD Mallorca
25621,A. Rațiu,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/25621.png?version=20260123195308,Rayo Vallecano
17450,A. Ruibal,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/17450.png?version=20251003194220,Real Betis Balompié
40147,A. Rüdiger,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/40147.png?version=20251003183330,Real Madrid
33053,A. de la Fuente,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/33053.png?version=20250613151439,Levante UD
68716,B. Sangaré,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68716.png?version=20260323141411,Elche CF
54818,C. Azpilicueta,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/54818.png?version=20251006013302,Sevilla FC
69917,C. Ballestero,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/69917.png?version=20260317092331,Deportivo Alavés
25885,C. Dominguez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/25885.png?version=20251003194851,RC Celta de Vigo
5608,C. Lenglet,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/5608.png?version=20251003193703,Atlético de Madrid
65476,C. Riedel,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65476.png?version=20250826090602,RCD Espanyol
55743,C. Romero,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/55743.png?version=20231222225348,RCD Espanyol
55088,C. Starfelt,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/55088.png?version=20251003194833,RC Celta de Vigo
55738,C. Tárrega,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/55738.png?version=20251006014813,Valencia CF
63865,D. Affengruber,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63865.png?version=20250617095438,Elche CF
69903,D. Aguado,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/69903.png?version=20260315084918,Real Madrid
27298,D. Alaba,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/27298.png?version=20251003183618,Real Madrid
54834,D. Blind,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/54834.png?version=20251006030255,Girona FC
22874,D. Calvo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/22874.png?version=20250622160600,Real Oviedo
65623,D. Carmo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65623.png?version=20250829130252,Real Oviedo
328,D. Carvajal,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/328.png?version=20251003183531,Real Madrid
