date,jugador,precio,puntosJugador,equipoLiga,avgPoints,variacion,jornada,detalles,equipo,ganancias,num_pujas,recibe_puja,eficiencia,subida,posicionJugador_2.0,posicionJugador_3.0,posicionJugador_4.0,estado_1.0,estado_2.0,estado_3.0,estado_4.0,estado_5.0,equipoLiga_target_enc,jornada_target_enc,precio_por_punto,precio_por_avgPoint,puntos_por_precio,avgPoints_por_precio,momentum_variacion,variacion_pos,variacion_neg,avgPoints_posicionJugador_2.0,avgPoints_posicionJugador_3.0,avgPoints_posicionJugador_4.0,precio_bin,avgPoints_bin
2025-10-29,A. ZAKHARYAN,-0.6201176993783708,-1.0279832719606588,16.0,-0.8131311377497211,,11.0,-0.6299793097294802,,,0,0,1.3112550243604721,0,False,True,False,False,False,False,False,False,0.12037037037037036,0.325,0.6032377369656652,0.7626303227359175,1.657725510361436,1.3112550243604721,,0,0,-0.0,-0.8131311377497211,-0.0,1,0
2025-10-29,F. UGRINIC,-0.6285276867560047,-1.00155326450141,19.0,-0.6749364957483537,,11.0,-0.6299793097294802,,,0,0,1.0738390429082376,0,False,True,False,False,False,False,False,False,0.22413793103448276,0.325,0.6275535576457376,0.9312411196556005,1.5934936186571422,1.0738390429082376,,0,0,-0.0,-0.6749364957483537,-0.0,1,0
2025-10-29,A. OSAMBELA,-0.6304499695851781,-0.9486932495829125,50.0,-0.3294498907449351,,11.0,-0.6299793097294802,,,0,0,0.5225639292609299,0,False,True,False,False,False,False,False,False,0.18181818181818182,0.325,0.6645463477353716,1.9136503029639371,1.5047899121908825,0.5225639292609299,,0,0,-0.0,-0.3294498907449351,-0.0,0,1
2025-10-29,A. SAN MIGUEL,-0.6217996968538976,-1.2129933241753998,4.0,-2.0568829157620283,,11.0,-0.6299793097294802,,,0,0,3.3079562986690028,0,False,False,False,False,False,False,False,False,0.19230769230769232,0.325,0.5126163492226556,0.30230208748932236,1.9507813868262478,3.3079562986690028,,0,0,-0.0,-0.0,-0.0,1,0
2025-10-29,A. ITURBE,-0.6222802675611909,-1.2129933241753998,23.0,-2.0568829157620283,,11.0,-0.6299793097294802,,,0,0,3.3054016467932024,0,False,False,False,False,False,False,False,False,0.1746031746031746,0.325,0.5130125353301153,0.30253572788627986,1.949274847174821,3.3054016467932024,,0,0,-0.0,-0.0,-0.0,1,0
2025-10-29,U. IZETA,-0.6287679721096513,-1.0808432868791562,1.0,-0.8822284587504049,,11.0,-0.6299793097294802,,,0,0,1.4031087793786856,0,False,False,True,False,False,False,False,False,0.14035087719298245,0.325,0.5817388713807334,0.7127050579453105,1.7189886473405078,1.4031087793786856,,0,0,-0.0,-0.0,-0.8822284587504049,0,0
2025-10-29,P. CISS,1.3153808242456444,-0.15579302580545049,14.0,0.7070099242653208,,11.0,-0.6299793097294802,,,0,0,0.5374940653986781,0,False,True,False,False,False,False,False,False,0.15384615384615385,0.325,-8.443184543272208,1.8604816122360506,-0.11843939374393889,0.5374940653986781,,0,0,0.0,0.7070099242653208,0.0,3,3
2025-10-29,T. ALMADA,0.9523096548855092,-0.5258131302349327,2.0,1.5361777762735256,,11.0,-0.6299793097294802,Maldinillo 💥,-6.77343,1,1,1.6131057322447067,0,False,True,False,False,False,False,False,False,0.2857142857142857,0.325,-1.8111215016283813,0.6199211117833755,-0.5521445418440143,1.6131057322447067,,0,0,0.0,1.5361777762735256,0.0,3,3
2025-10-29,A. BLANCO,0.5635279526851796,-0.2350830481831967,48.0,0.7761072452660043,,11.0,-0.6299793097294802,,,0,0,1.3772269225350402,0,False,True,False,False,False,False,False,False,0.11224489795918367,0.325,-2.39715434266605,0.7260945314297432,-0.4171623251352764,1.3772269225350402,,0,0,0.0,0.7761072452660043,0.0,3,3
2025-10-29,T. ALEXANDER-ARNOLD,0.7483073896394773,-0.9486932495829125,15.0,-0.3294498907449351,,11.0,-0.6299793097294802,Chamacónicos,-7.0,2,1,-0.44025951774195476,0,True,False,False,False,False,False,False,False,0.17857142857142858,0.325,-0.7887778043601249,-2.271391437826481,-1.2677837943791828,-0.44025951774195476,,0,0,-0.3294498907449351,-0.0,-0.0,3,1
2025-10-29,K. SALAS,-0.04823855769927014,-0.7636831973681714,17.0,0.9143018872673718,,11.0,-0.6299793097294802,,,0,0,-18.954149647613807,0,True,False,False,False,False,False,False,False,0.17708333333333334,0.325,0.06316574861311626,-0.05275993149649064,15.831713581546568,-18.954149647613807,,0,0,0.9143018872673718,0.0,0.0,2,3
2025-10-29,N. MARAŠ,-0.6309305402924714,-1.2129933241753998,48.0,-2.0568829157620283,,11.0,-0.6299793097294802,Dani,-0.16,0,1,3.260083391892773,0,True,False,False,False,False,False,False,False,0.11224489795918367,0.325,0.520143885264387,0.306741255031515,1.9225495823402232,3.260083391892773,,0,0,-2.0568829157620283,-0.0,-0.0,0,0
2025-10-29,D. SORIA,0.7879544729911797,-0.12936301834620176,9.0,0.7761072452660043,,11.0,-0.6299793097294802,MuchaSalsa,-6.865,1,1,0.9849633283462096,0,False,False,False,False,False,False,False,False,0.17117117117117117,0.325,-6.091080543304735,1.0152636282341199,-0.16417554389859518,0.9849633283462096,,0,0,0.0,0.0,0.0,3,3
2025-10-29,L. JÚNIOR,0.34630999298858006,-0.4465231078571866,20.0,0.7761072452660043,,11.0,-0.6299793097294802,,,0,0,2.241070196959059,0,False,False,False,False,False,False,False,False,0.2376237623762376,0.325,-0.7755718852320345,0.4462135212464923,-1.2893702969224288,2.241070196959059,,0,0,0.0,0.0,0.0,2,3
